Date,Amount,Description,Balance
01/01/2026,3200.00,SALARY ACME PTY LTD PAYROLL,5200.00
02/01/2026,-24.50,UBER* EATS AU 12345 SYDNEY,5175.50
03/01/2026,-89.20,WOOLWORTHS 1234 BONDI NSW,5086.30
04/01/2026,-15.80,STARBUCKS COFFEE SYDNEY,5070.50
05/01/2026,-22.00,OPAL CARD TOP UP SYDNEY,5048.50
06/01/2026,-19.99,NETFLIX.COM AU,5028.51
07/01/2026,-45.00,COLES 5678 SURRY HILLS,4983.51
08/01/2026,-12.50,7-ELEVEN 2345 SYDNEY,4971.01
10/01/2026,-65.00,DOORDASH* MCDONALDS SYDNEY,4906.01
11/01/2026,-120.00,JB HI-FI BONDI JUNCTION,4786.01
12/01/2026,-18.40,UBER TRIP SYDNEY,4767.61
14/01/2026,-250.00,RENT PAYMENT LANDLORD PTY,4517.61
15/01/2026,-32.00,GYMSHARK FITNESS SYDNEY,4485.61
17/01/2026,-78.50,WOOLWORTHS 1234 BONDI NSW,4407.11
18/01/2026,-28.90,DELIVEROO* PIZZA SYDNEY,4378.21
20/01/2026,-14.99,SPOTIFY PREMIUM AU,4363.22
22/01/2026,-95.00,AMAZON AU MARKETPLACE,4268.22
24/01/2026,-16.20,STARBUCKS COFFEE SYDNEY,4252.02
25/01/2026,-42.00,OPAL CARD TOP UP SYDNEY,4210.02
28/01/2026,-55.00,PRICELINE PHARMACY BONDI,4155.02
